key,name,iataCode,website,type,foundationMoment,email,phoneNumber
airline-40,Lorem ipsum dolor sit ame,BCP,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,650788393
# emailAddres - no singular values
# phoneNumber - standard variations
airline-41,Lorem ipsum dolor sit ame,BCQ,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+123456
airline-42,Lorem ipsum dolor sit ame,BCR,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456
airline-43,Lorem ipsum dolor sit ame,BCS,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+1234567
airline-44,Lorem ipsum dolor sit ame,BCT,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,1234567
airline-45,Lorem ipsum dolor sit ame,BCU,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+123456789012345
airline-46,Lorem ipsum dolor sit ame,BCV,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456789012345
airline-47,Lorem ipsum dolor sit ame,BCX,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+12345678901234
airline-48,Lorem ipsum dolor sit ame,BCY,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,12345678901234
# phoneNumber - no singular values
